  Year          Age             Female            Male           Total
     2014        0            206305.00       218576.00       424881.00
     2014        1            219473.00       233543.00       453016.00
     2014        2            229099.00       243553.00       472652.00
     2014        3            232165.00       247355.00       479520.00
     2014        4            236883.00       253661.00       490544.00
     2014        5            250259.00       267319.00       517578.00
     2014        6            241600.00       257466.00       499066.00
     2014        7            239903.00       255662.00       495565.00
     2014        8            235955.00       249654.00       485609.00
     2014        9            232828.00       247852.00       480680.00
     2014       10            230150.00       242314.00       472464.00
     2014       11            220517.00       233430.00       453947.00
     2014       12            219629.00       231297.00       450926.00
     2014       13            217723.00       232683.00       450406.00
     2014       14            214199.00       225899.00       440098.00
     2014       15            206358.00       220678.00       427036.00
     2014       16            208831.00       220753.00       429584.00
     2014       17            207132.00       218508.00       425640.00
     2014       18            206153.00       219506.00       425659.00
     2014       19            209855.00       222797.00       432652.00
     2014       20            220201.00       231785.00       451986.00
     2014       21            230136.00       240005.00       470141.00
     2014       22            231439.00       240541.00       471980.00
     2014       23            238435.00       244467.00       482902.00
     2014       24            246645.00       250963.00       497608.00
     2014       25            255043.00       257292.00       512335.00
     2014       26            262647.00       263779.00       526426.00
     2014       27            273053.00       272394.00       545447.00
     2014       28            283984.00       285002.00       568986.00
     2014       29            297627.00       298487.00       596114.00
     2014       30            308997.00       310823.00       619820.00
     2014       31            328065.00       332013.00       660078.00
     2014       32            342721.00       349973.00       692694.00
     2014       33            360338.00       369469.00       729807.00
     2014       34            371795.00       382013.00       753808.00
     2014       35            387447.00       403003.00       790450.00
     2014       36            391913.00       411313.00       803226.00
     2014       37            399976.00       418155.00       818131.00
     2014       38            396589.00       416723.00       813312.00
     2014       39            394760.00       412890.00       807650.00
     2014       40            384796.00       403188.00       787984.00
     2014       41            383409.00       401370.00       784779.00
     2014       42            377765.00       393337.00       771102.00
     2014       43            373188.00       387996.00       761184.00
     2014       44            371233.00       382539.00       753772.00
     2014       45            368687.00       378857.00       747544.00
     2014       46            371760.00       379359.00       751119.00
     2014       47            362323.00       369056.00       731379.00
     2014       48            361056.00       364419.00       725475.00
     2014       49            366057.00       368291.00       734348.00
     2014       50            348353.00       350088.00       698441.00
     2014       51            337932.00       336815.00       674747.00
     2014       52            330757.00       327491.00       658248.00
     2014       53            332267.00       328231.00       660498.00
     2014       54            323201.00       318238.00       641439.00
     2014       55            316369.00       310095.00       626464.00
     2014       56            308863.00       300796.00       609659.00
     2014       57            288503.00       279705.00       568208.00
     2014       58            279736.00       270163.00       549899.00
     2014       59            267811.00       255761.00       523572.00
     2014       60            266926.00       255724.00       522650.00
     2014       61            265138.00       254444.00       519582.00
     2014       62            249233.00       235883.00       485116.00
     2014       63            244055.00       229546.00       473601.00
     2014       64            255115.00       235828.00       490943.00
     2014       65            266616.00       246251.00       512867.00
     2014       66            243907.00       223717.00       467624.00
     2014       67            234013.00       211251.00       445264.00
     2014       68            244105.00       218890.00       462995.00
     2014       69            232103.00       206580.00       438683.00
     2014       70            227800.00       200972.00       428772.00
     2014       71            195955.00       171767.00       367722.00
     2014       72            180016.00       156014.00       336030.00
     2014       73            221096.00       187190.00       408286.00
     2014       74            148586.00       120562.00       269148.00
     2014       75            166997.00       134275.00       301272.00
     2014       76            185539.00       146344.00       331883.00
     2014       77            202581.00       153553.00       356134.00
     2014       78            192562.00       144891.00       337453.00
     2014       79            187997.00       137499.00       325496.00
     2014       80            188588.00       133807.00       322395.00
     2014       81            181354.00       125084.00       306438.00
     2014       82            165866.00       111561.00       277427.00
     2014       83            161651.00       102272.00       263923.00
     2014       84            144630.00        88448.00       233078.00
     2014       85            135363.00        78577.00       213940.00
     2014       86            117625.00        65596.00       183221.00
     2014       87            108458.00        57474.00       165932.00
     2014       88             93618.00        47022.00       140640.00
     2014       89             83524.60        39994.58       123519.18
     2014       90             70012.92        32589.71       102602.63
     2014       91             60326.13        25201.06        85527.19
     2014       92             45886.99        19510.38        65397.37
     2014       93             36526.39        13205.56        49731.95
     2014       94             25223.56         8453.79        33677.35
     2014       95             19885.13         6072.48        25957.61
     2014       96             14226.27         4147.58        18373.85
     2014       97             10323.00         2919.48        13242.48
     2014       98              7319.16         1940.22         9259.38
     2014       99              5110.15         1237.72         6347.87
     2014      100              3243.61          767.64         4011.25
     2014      101              2132.43          471.27         2603.70
     2014      102              1264.65          273.27         1537.92
     2014      103               705.78          142.23          848.01
     2014      104               384.88           75.28          460.16
     2014      105               195.80           37.09          232.89
     2014      106               114.81           16.77          131.58
     2014      107                50.24            9.76           60.00
     2014      108                27.39            2.90           30.29
     2014      109                11.31            2.20           13.51
     2014      110+               10.83            0.00           10.83
